2022-10-16T23:10Z;01:12;01:11;08 threads;Authors
2022-10-16T23:19Z;09:51;09:51;08 threads;Context Items
2022-10-16T23:24Z;15:09;13:56;08 threads;Tweets
2022-10-16T23:36Z;27:26;12:05;08 threads;Tweet References
2022-10-16T23:37Z;27:51;12:26;08 threads;Links, Annotations
2022-10-16T23:39Z;30:14;15:05;08 threads;Hashtags
2022-10-16T23:42Z;33:09;18:00;08 threads;Context Annotations
2022-10-16T23:42Z;33:09;33:09;08 threads;Import

2022-10-17T00:14Z;01:12;01:12;12 threads;Authors
2022-10-17T00:22Z;09:52;09:51;12 threads;Context Items
2022-10-17T00:28Z;15:29;14:17;12 threads;Tweets
2022-10-17T00:40Z;28:02;12:20;12 threads;Tweet References
2022-10-17T00:41Z;28:15;12:30;12 threads;Links, Annotations
2022-10-17T00:43Z;30:54;15:24;12 threads;Hashtags
2022-10-17T00:45Z;32:15;16:45;12 threads;Context Annotations
2022-10-17T00:45Z;32:15;32:15;12 threads;Import

2022-10-17T01:08Z;01:15;01:13;10 threads;Authors
2022-10-17T01:17Z;10:01;09:59;10 threads;Context Items
2022-10-17T01:23Z;15:30;14:14;10 threads;Tweets
2022-10-17T01:35Z;27:34;11:52;10 threads;Tweet References
2022-10-17T01:35Z;27:52;12:07;10 threads;Links, Annotations
2022-10-17T01:38Z;30:29;14:58;10 threads;Hashtags
2022-10-17T01:39Z;31:33;16:02;10 threads;Context Annotations
2022-10-17T01:39Z;31:35;31:33;10 threads;Import
