2022-10-07T20:00Z;0:0;0:0
2022-10-07T20:00Z;0:2;0:0
2022-10-07T20:00Z;0:3;0:1
2022-10-07T20:00Z;0:5;0:0
2022-10-07T20:00Z;0:6;0:1
2022-10-07T20:00Z;0:8;0:1
2022-10-07T20:00Z;0:10;0:1
2022-10-07T20:00Z;0:12;0:1
2022-10-07T20:00Z;0:14;0:1
2022-10-07T20:00Z;0:16;0:1
2022-10-07T20:00Z;0:17;0:1
2022-10-07T20:00Z;0:19;0:1
2022-10-07T20:00Z;0:20;0:1
2022-10-07T20:00Z;0:22;0:1
2022-10-07T20:00Z;0:23;0:1
2022-10-07T20:01Z;0:25;0:1
2022-10-07T20:01Z;0:26;0:1
2022-10-07T20:01Z;0:28;0:1
2022-10-07T20:01Z;0:29;0:1
2022-10-07T20:01Z;0:31;0:1
2022-10-07T20:01Z;0:32;0:1
2022-10-07T20:01Z;0:34;0:1
2022-10-07T20:01Z;0:35;0:1
2022-10-07T20:01Z;0:37;0:1
2022-10-07T20:01Z;0:39;0:1
2022-10-07T20:01Z;0:40;0:1
2022-10-07T20:01Z;0:42;0:1
2022-10-07T20:01Z;0:43;0:1
2022-10-07T20:01Z;0:45;0:1
2022-10-07T20:01Z;0:47;0:1
2022-10-07T20:01Z;0:49;0:1
2022-10-07T20:01Z;0:50;0:1
2022-10-07T20:01Z;0:52;0:1
2022-10-07T20:01Z;0:53;0:1
2022-10-07T20:01Z;0:55;0:1
2022-10-07T20:01Z;0:56;0:1
2022-10-07T20:01Z;0:58;0:1
2022-10-07T20:01Z;1:0;0:1
2022-10-07T20:01Z;1:1;0:1
2022-10-07T20:01Z;1:3;0:1
2022-10-07T20:01Z;1:5;0:1
2022-10-07T20:01Z;1:6;0:1
2022-10-07T20:01Z;1:8;0:1
2022-10-07T20:01Z;1:10;0:1
2022-10-07T20:01Z;1:12;0:1
2022-10-07T20:01Z;1:13;0:1
2022-10-07T20:01Z;1:15;0:1
2022-10-07T20:01Z;1:16;0:1
2022-10-07T20:01Z;1:18;0:1
2022-10-07T20:01Z;1:20;0:1
2022-10-07T20:01Z;1:21;0:1
2022-10-07T20:01Z;1:23;0:1
2022-10-07T20:02Z;1:25;0:1
2022-10-07T20:02Z;1:27;0:1
2022-10-07T20:02Z;1:28;0:1
2022-10-07T20:02Z;1:30;0:1
2022-10-07T20:02Z;1:31;0:0
2022-10-07T20:02Z;1:33;0:0
2022-10-07T20:02Z;1:34;0:0
2022-10-07T20:02Z;1:36;0:1
2022-10-07T20:02Z;1:37;0:0
2022-10-07T20:02Z;1:39;0:0
2022-10-07T20:02Z;1:40;0:0
2022-10-07T20:02Z;1:41;0:0
2022-10-07T20:02Z;1:42;0:0
2022-10-07T20:02Z;1:44;0:1
2022-10-07T20:02Z;1:45;0:0
2022-10-07T20:02Z;1:46;0:0
2022-10-07T20:02Z;1:48;0:0
2022-10-07T20:02Z;1:48;0:0
2022-10-07T20:02Z;1:51;0:2
2022-10-07T20:02Z;1:52;0:1
2022-10-07T20:02Z;1:55;0:2
2022-10-07T20:02Z;1:56;0:1
2022-10-07T20:02Z;2:0;0:2
2022-10-07T20:02Z;2:1;0:1
2022-10-07T20:02Z;2:4;0:2
2022-10-07T20:02Z;2:5;0:1
2022-10-07T20:02Z;2:9;0:2
2022-10-07T20:02Z;2:10;0:1
2022-10-07T20:02Z;2:13;0:2
2022-10-07T20:02Z;2:14;0:1
2022-10-07T20:02Z;2:17;0:2
2022-10-07T20:02Z;2:18;0:1
2022-10-07T20:02Z;2:22;0:2
2022-10-07T20:02Z;2:23;0:1
2022-10-07T20:03Z;2:26;0:2
2022-10-07T20:03Z;2:27;0:1
2022-10-07T20:03Z;2:31;0:2
2022-10-07T20:03Z;2:32;0:1
2022-10-07T20:03Z;2:34;0:2
2022-10-07T20:03Z;2:36;0:1
2022-10-07T20:03Z;2:39;0:2
2022-10-07T20:03Z;2:40;0:1
2022-10-07T20:03Z;2:43;0:2
2022-10-07T20:03Z;2:44;0:1
2022-10-07T20:03Z;2:48;0:2
2022-10-07T20:03Z;2:49;0:1
2022-10-07T20:03Z;2:52;0:2
2022-10-07T20:03Z;2:54;0:1
2022-10-07T20:03Z;2:57;0:2
2022-10-07T20:03Z;2:58;0:1
2022-10-07T20:03Z;3:2;0:2
2022-10-07T20:03Z;3:3;0:1
2022-10-07T20:03Z;3:7;0:2
2022-10-07T20:03Z;3:8;0:1
2022-10-07T20:03Z;3:11;0:2
2022-10-07T20:03Z;3:12;0:1
2022-10-07T20:03Z;3:16;0:2
2022-10-07T20:03Z;3:17;0:1
2022-10-07T20:03Z;3:21;0:2
2022-10-07T20:03Z;3:22;0:1
2022-10-07T20:04Z;3:25;0:2
2022-10-07T20:04Z;3:27;0:1
2022-10-07T20:04Z;3:30;0:2
2022-10-07T20:04Z;3:31;0:1
2022-10-07T20:04Z;3:35;0:2
2022-10-07T20:04Z;3:36;0:1
2022-10-07T20:04Z;3:40;0:2
2022-10-07T20:04Z;3:41;0:1
