Authors;2022-10-16T20:18Z;1:11;1:11
Context Items;2022-10-16T20:26Z;9:58;9:58
Tweets;2022-10-16T20:32Z;15:10;13:58
Tweet References;2022-10-16T20:44Z;12:31;12:19
Links, Annotations;2022-10-16T20:44Z;12:33;12:33
Hashtags;2022-10-16T20:47Z;15:20;15:20
Context Annotations;2022-10-16T20:51Z;19:47;19:47
Import;2022-10-16T20:51Z;34:58;34:57
